Activity Master: Activity Master Number,Activity Master: ID,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating -RR,Is Special,Activity Price,Activity Group,Activity Group (Arabic),GICS Business Sector,GICS Subsector,Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-07720,a0v4H00000fYccY,Non-Freezone,2920901,"Motor Vehicles Bodies, Including Cabs Manufacturing",صناعة الهياكل بالمقصورات للمركبات ذات المحركات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,Consumer Discretionary,Automotive & Parts,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,"The activity is concerned with the manufacture of bodies structures for vehicles and transport vehicles made by cutting, fixing or welding, whether from steel or other metals or fiberglass or others. This also includes manufacturing cabins for some vehicles such as ambulances, security cars, ice cream cars, etc.",النشاط معني بصناعة الهياكل الخاصة بالمركبات وعربات النقل المصنوعة بطريقة القص والتثبيت أو اللحام سواء من الحديد أو المواد المعدنية الأخرى أو الألياف الزجاجية الفيبرجلاس أو غيرها كما يشمل ذلك صناعة المقصورات الكبائن الخاصة ببعض المركبات كسيارات الإسعاف أو السيارات الأمنية أو سيارات بيع المثلجات وما يماثلها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07725,a0v4H00000fYccd,Non-Freezone,2930108,Motor Vehicles Bodies  Parts and Accessories Manufacturing,صناعة أجزاء وتوابع لهياكل المركبات ذات المحرّكات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,Consumer Discretionary,Automotive & Parts,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-09349,a0vTm000001fFfF,Freezone,2930108,Motor Vehicles Bodies  Parts and Accessories Manufacturing,صناعة أجزاء وتوابع لهياكل المركبات ذات المحرّكات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,Consumer Discretionary,Automotive & Parts,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08457,a0v4H00000g5mbC,Non-Freezone,2930107,Motor Vehicles Brakes and Clutches Manufacturing,صناعة المكابح (الفرامل) والقوابض للمركبات ذات المحركات,Active,,Industrial,صناعية,-,Low,,Standard,,manufacture of engines and Vehicles,صناعة العربات والمحركات,Consumer Discretionary,Automotive & Parts,manufacture of engines and Vehicles,صناعة العربات والمحركات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03831,a0v580000018MKp,Non-Freezone,2910004,Motor Vehicles Engines & Parts Manufacturing,صناعة محركات السيارات وأجزائها,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,Consumer Discretionary,Automotive & Parts,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07717,a0v4H00000fYccV,Non-Freezone,2910004,Motor Vehicles Engines Manufacturing,صناعة محركات المركبات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,Consumer Discretionary,Automotive & Parts,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07722,a0v4H00000fYcca,Non-Freezone,2930101,Motor Vehicles Radiators Parts Thereof Manufacturing,صناعة مبردات المركبات ذات المحركات وأجزاؤها,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07723,a0v4H00000fYccb,Non-Freezone,2930102,"Motor Vehicles Silencers, Catalytic Converters, and Exhaust Pipes Manufacturing",صناعة كواتم الصوت وأجهزة تحويل غازات ومواسير العادم للمركبات ذات المحركات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04590,a0v580000018MX4,Freezone,343006,Motor Vehicles Spare Parts Manufacturing,صناعة قطع غيار السيارات,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,"Manufacture of motor vehicles, motorcycles & its spare parts",صناعه السيارات و قطع غيارها والمركبات و الدراجات,Consumer Discretionary,Automotive & Parts,,,"Includes manufacturing diverse parts and accessories such as brakes, gearboxes, radiators, silencers, exhaust pipes, steering wheels,used fully or partially in repairing and maintaining motor vehicles.",يشمل صناعة قطع الغيار والمكونات مثل الكوابح،صناديق التعشيق، المبردات،العوادم، عجلات القيادة التي تستخدم عن طريق استبدالها بكاملهاأو أجزاء منها في إصلاح وصيانة السيارات والمركبات.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-09071,a0v4K0000026UU5,Freezone,2593003,Moulding Boxes and Moulds - Except Ingot Moulds - Manufacturing,صناعة علب القولبة والقوالب - باستثناء قوالب السبائك,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Other metal industries,صناعات معدنية أخرى,Industrials,Machinery & Equipment,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07346,a0v4H00000fYcWW,Non-Freezone,2593003,Moulding Boxes and Moulds - Except Ingot Moulds -  Manufacturing,صناعة علب القولبة والقوالب -  باستثناء قوالب السبائك,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Other metal industries,صناعات معدنية أخرى,Industrials,Machinery & Equipment,Other metal industries,صناعات معدنية أخرى,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04594,a0v580000018MX8,Freezone,222108,Multi-Dimensional Images Production (Hologram),انتاج الصور عديدة الابعاد (الهولوغرام),Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Printing and publishing services,خدمات النشر والطباعة,Industrials,Commercial Services & Supplies,,,"Includes multi-dimensional imaging (two or three-dimensional) or hologram imaging by means of sophisticated technology specially applying laser on mediums like thermal paper, stickers or tapes (films) useable on promotions, and unti- counterfeiting.",يشمل إنتاج الصور ذات الأبعاد المتعددة (ذات البعدين، وثلاثية الأبعاد) أو صور الهولوغرام باستخدام التقنيات الحديثة لاسيما أشعة الليزر على وسائط مختلفة كالورق الحراري أو البطاقات اللاصقة أو الشرائط (الأفلام)، والتي تستخدم في الوسائل الترويجية أو لمنع التزوير والتقليد.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04744,a0v580000018MZY,Freezone,513907,Multi-Dimensional Images Trading (HOLOGRAM),تجارة الصور عديدة الابعاد (الهولوغرام),Active,,Commercial,تجارية,-,Low,,Standard,,Stationary and books trading,تجارة الكتب والادوات المكتبية,Industrials,Commercial Services & Supplies,,,"Includes firms that supply other concerns with multi-dimensional imaged posters, pictures and stamps as per their commercial and professional equipment, these firms are not involved in the production process, but by specialized printing houses which are classified under No. 2221-08.",يشمل المؤسسات التي تقوم بتزويد الشركات والمؤسسات بالملصقات والصور والأختام عديدة الأبعاد (الهولوغرام) حسب متطلباتها التجارية والمهنية، ولا تقوم هذه المنشآت بعمليات الإنتاج بنفسها وإنما من خلال مطابع متخصصة في ذلك حيث صنفت هذه الأخيرة تحت النشاط رقم 08-2221.,,
AM-08995,a0v4K000000e49o,Freezone,RAKEZ9000910,Multi Family Office,مكتب العوائل المتعددة,Active,,Services,خدمية,ESR,Low,High,Standard,,Family Office Management,مكاتب إدارة العوائل,Financials,Family Offices,,,Includes office(s) established by consultants for the provision of integrated and highly customized services to a limited number of clients - participating as families or family businesses (SFOs).,هو كيان يؤسس من قبل مستشارون أو مزودو خدمات محترفون أو شركات استشارية تدير شؤون عائلات متعددة و/ أو عدة مكاتب عائلة واحدة تحت سقف واحد,,"Business plan, Activity allowed for physical office only, Must be set-up as an independent parent entity – not a Branch office, Proof of family offices/family business the MFO wishes to service is required, this activity is not allowed for Coworking"
AM-09179,a0v4K000001apty,Freezone,100741303,Multi Level Marketing,التسويق الشبكي للسلع والخدمات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,Communication Services,Media,,,,,,
AM-03212,a0v580000018MAq,Non-Freezone,100741303,Multi Level Marketing,التسويق الشبكي للسلع والخدمات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,Communication Services,Media,,,,,,
AM-09319,a0vTm000000zIWI,Freezone,RAKEZ9001039,Multi-screen Display Systems Creation,إنشاء أنظمة العرض متعددة الشاشات,Inactive,,Services,خدمية,-,,High,Standard,,Commercial Gaming,الألعاب التجارية,,,,,,,,
AM-08063,a0v4H00000fYci5,Non-Freezone,4719001,Multi-section Store,متجر متعدد الأقسام,Active,,Commercial,تجارية,-,Low,,Standard,,Super Market,سوبرماركت,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Multi-section Store,متاجر متعددة الأقسام,"Includes businesses that the activity on the marketing of varieties of goods and products, whether consumer or capital so that they are distributed in different sections includes the place to engage in employment to facilitate sales operations, such as selling furniture and home furnishings, garments, shoes and electrical appliances, utensils and appliances, And drugs that do not need a prescription Perfum, gifts and toys, as well as the food may contain a restaurant to provide meals to the other sections.",يشمل المنشآت التجارية التي يقوم نشاطها علي تسويق أصناف متنوعه من السلع والمنتجات سواء أكانت استهلاكية أو رأسمالية بحيث تكون موزعة في أقسام مختلفة يشمل عليها مكان مزاولة العمل لتسهيل عمليات البيع كبيع الاثاث والمفروشات المنزلية والملابس الجاهزة والاحذية والأجهزة الكهربائية والأواني والأجهزة المنزلية والعطور والأدوية التي لاتحتاج إلى وصفة طبية والهدايا ولعب الاطفال وكذلك المواد الغذائية وقد تحتوي علي مطعم لتقديم الوجبات الغذائية الى غير ذلك من الأقسام.,,RAK Municipality- Public Health Department
AM-07142,a0v4H00000fYcTE,Non-Freezone,1629103,Munufacture of plaits and products of plaiting materials,صناعة ضفائر ومنتجات مواد الضفر,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Textile industry and its products,صناعة النسيج ومنتجاته,,,textile industry and its products,صناعة النسيج ومنتجاته,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04745,a0v580000018MZZ,Freezone,513946,Musical Instruments & Requisites Trading,تجارة الآلات والادوات الموسيقية ولوازمها,Active,,Commercial,تجارية,-,Low,,Standard,,Electronics group,مجموعة الالكترونيات,Consumer Discretionary,Consumer Discretionary Distribution & Retail,,,"Includes reselling electronic and normal musical instruments like stringed, wind, percussion instruments, pipes, accordions, organs, including also the parts and accessories.",يشمل إعادة بيع مختلف أنواع الآلات والأدوات الموسيقية الإلكترونية منها والعادية والتي تشمل الوتريات، آلات النفخ الخشبية والنحاسية، آلات الإيقاع، المزامير، الأكورديون، الأرغن، كما يشمل الأجزاء واللوازم الخاصة بضبطها وتشغيلها.,,
AM-03441,a0v580000018MEX,Freezone,369200,Musical Instruments Manufacturing,صناعة الادوات والآلات الموسيقية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Appliances and machinery manufacturing,صناعة الأجهزة والالات,Consumer Discretionary,Leisure Products,,,"Includes manufacturing electronic and normal musical instruments like stringed, wind, and percussion instruments, pipes, accordions, organs, including also the parts and accessories.",يشمل صناعة مختلف أنواع الآلات والأدوات الموسيقية الإلكترونية منها والعادية والتي تشمل الوتريات، آلات النفخ الخشبية والنحاسية، آلات الإيقاع، المزامير، آلات الأكورديون والأرغن، كما يشمل الأجزاء واللوازم الخاصة بضبطها وتشغيلها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08138,a0v4H00000fYcjI,Non-Freezone,7020016,Music Consultancy,استشارات موسيقية,Active,,Professional,مهنية,-,Low,,Standard,,Technical training institutes,معاهد التدريب الفني,,,Technical training institutes,معاهد التدريب الفني,,,,
AM-03439,a0v580000018MEV,Freezone,921415,Music Consultant,استشارات موسيقية,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,Industrials,Professional Services,,,"Includes firms which provide consultation on the organization of events such as recitals, concerts, dance, chamber music, etc., as well as consultation on instrumental education and performance. This also includes promotional activities for performers and events through a licensed media provider.",يشمل المنشآت التي تقدم إستشاراتها حول تنظيم فعاليات العزف الموسيقي المنفرد والحفلات الموسيقية والرقص والموسيقى الكلاسيكية،الخ. بالإضافة إلى الإستشارات حول تعليم العزف على آلات الموسيقى، ويشمل النشاطات الترويجية والتسويقية للموسيقيين والحفلات على أن تتم عن طريق شركات إعلان مرخصة.,,
AM-06886,a0v5800000dq0xL,Freelance Permit,1522071,MUSIC CRITIC,ناقد موسيقى,Active,,Freelance Permit,تصريح حر,-,Low,,,,Media,اعلام,,,,,,,,
AM-06835,a0v5800000dp8EK,Freezone,100072,Music Distribution,توزيع الموسيقى,Active,,Media,اعلام,-,Low,,Standard,,Music and Entertainment,الموسيقى والترفيه,Communication Services,Media,,,Music Distribution,توزيع الموسيقى,,Media Brief Form
AM-06884,a0v5800000dq0xJ,Freelance Permit,1522031,MUSICIAN,ملحن,Active,,Freelance Permit,تصريح حر,-,Low,,,,Media,اعلام,,,,,,,,
AM-06836,a0v5800000dp8EL,Freezone,100074,Music Label and Rights Management,إدارة الحقوق والمصنفات الموسيقىة,Active,,Media,اعلام,-,Low,,Standard,,Music and Entertainment,الموسيقى والترفيه,Industrials,Professional Services,,,Music Label and Rights Management,إدارة الحقوق والمصنفات الموسيقىة,,Media Brief Form
AM-06837,a0v5800000dp8EM,Freezone,100071,"Music Production, Re‐production and Recordings",إنتاج وإعادة إنتاج التسجيلات الموسيقية,Active,,Media,اعلام,-,,,Standard,,Music and Entertainment,الموسيقى والترفيه,Communication Services,Media,,,"Music Production, Re‐production and Recordings",إنتاج وإعادة إنتاج التسجيلات الموسيقية,,Media Brief Form
AM-06838,a0v5800000dp8EN,Freezone,100073,Music Publishing / Copyright,نشر الموسيقى / حقوق المؤلف,Active,"50,000",Media,اعلام,-,Low,,Standard,,Music and Entertainment,الموسيقى والترفيه,Communication Services,Media,,,Music Publishing / Copyright,نشر الموسيقى / حقوق المؤلف,,Media Brief Form
AM-08967,a0v4K000001XynM,Freezone,100111,Music streaming platform,منصة بث الموسيقى,Active,,Media,اعلام,-,,,Standard,,General Media,الإعلام العامة,Communication Services,Media,,,"A digital platform, which provides streaming or downloads of audio content and other music related content. Typically there is a subscription element, which may be with or without a subscription fee.",,,
AM-07368,a0v4H00000fYcWs,Non-Freezone,2599124,Nails and Pins Manufacturing,صناعة المساميروالدبابيس,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Other metal industries,صناعات معدنية أخرى,Industrials,Machinery & Equipment,Other metal industries,صناعات معدنية أخرى,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-02749,a0v580000018M3N,Non-Freezone,100145915,Natural (Organic) Food Manufacturing,صناعة الأغذية الطبيعية,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,Consumer Staples,Food & Beverages,,,,,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06107,a0v580000018MvX,Freezone,1549-15,Natural (Organic) Food Manufacturing,صناعة الأغذية الطبيعية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Food industries,الصناعات الغذائية,Consumer Staples,Food & Beverages,,,"Includes manufacturing natural organic food from vegetables, fruits and cereals, produced free from chemical fertilizers, pesticides and pollutants, no additives, artificial flavors, colors or preservatives are added at the packaging process.","يشمل إنتاج الأغذية العضوية الطبيعية المصنوعة من الخضروات والفواكه والحبوب وغيرها من الأغذية التي تنتج من المحاصيل المزروعة دون إستعمال الأسمدة الصناعية والمبيدات والملوثات, كما تخلو هذه الأغذية الطبيعية من المواد الصناعية أو المنكهات أو الألوان أو المواد الحافظة التي تضاف عادة على المواد الغذائية عند تصنيعها.",,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01481,a0v580000018Liv,Non-Freezone,2013004,Natural & Synthetic Rubber Mixtures Manufacturing,صناعة خلطات المطاط الطبيعي والتركيبي,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,Materials,Chemicals,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08364,a0v4H00000fYcmw,Non-Freezone,8690001,Natural and Rehabilitation Medicine,طب طبيعي وتأهيل,Active,,Professional,مهنية,-,Medium,,Standard,,Medical clinics,العيادات الطبية,Healthcare,Healthcare Providers & Services,,,Includes medical facilities specialized in physical therapy and health rehabilitation and includes the treatment of all cases of paralysis and disorders of the nervous system and arthritis and back and neck pain and includes training the patient to do daily work,تشمل المنشأت الطبية المتخصصة فى العلاج الطبيعي والتأهيلى الصحي ويشمل علاج جميع حالات الشلل واضطرابات الجهاز العصبي والتهاب المفاصل وآلام الظهر والرقبة كما يشمل تدريب المريض علي القيام بالأعمال اليومية,Certified_Academic_Degree,Ministry of Health & Prevention
AM-07197,a0v4H00000fYcU7,Non-Freezone,2013004,Natural And Synthetic Rubber Mixtures Manufacturing,صناعة مخاليط المطاط التركيبي والمطاط الطبيعي,Active,"150,000",Industrial,صناعية,-,High,,Standard,,Paint and insulators industry,صناعة العوازل والدهانات,Materials,Chemicals,Chemical industry,صناعة الكيماويات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07141,a0v4H00000fYcTD,Non-Freezone,1629101,Natural Cork Processing and Agglomerated Cork Manufacturing,صناعة الفلين المكتَّل وتجهيز الفلِّين الطبيعي,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Paper and paper products,صناعة الورق ومشتقاته,,,Paper and paper products,صناعة الورق ومشتقاته,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-09385,a0vTm000002MShF,Freezone,910001,Natural Gas and Oil Well Drilling (Outside UAE),حفر أبار البترول والغاز الطبيعي (خارج دولة الامارات العربية المتحدة),Active,"150,000",Services,خدمية,-,Low,,Standard,,Extraction of petroleum and other materials,إستخراج البترول والخامات الأخرى,ENERGY,Energy Equipment & Services,,,Includes economic facilities specialized in the construction of oil and gas drilling has huge potential in the possession of the drilling equipment for those wells with a huge technical and human potential in digging wells that this activity does not include prospecting for oil,يشمل المنشأت الأقتصادية المتخصصة في مقاولات حفر أبار النفط والغاز بما لديها من إمكانيات ضخمة في أمتلاك معدات الحفر الخاصة بتلك الأبار الضخمة وبما لديها من أمكانيات فنية وبشرية في حفر تلك الأبار ولايشمل هذا النشاط البحث والتنقيب عن البترول,,
AM-09386,a0vTm000002MSpJ,Freezone,910004,Natural Gas and Oil Well Fortification and Barricade (Outside UAE),تدعيم و تحصين آبار البترول والغاز الطبيعي وسدها (خارج دولة الامارات العربية المتحدة),Active,"150,000",Services,خدمية,-,,,Standard,,Extraction of petroleum and other materials,إستخراج البترول والخامات الأخرى,ENERGY,Energy Equipment & Services,,,Includes specialized enterprises in strengthening oil wells and natural gas wells and coverage using a variety of techniques such as cement pump steroid injection method or processor or other materials used in strengthening the promotion and protection of wells from corrosion or interaction with the surrounding natural materials or to prolong life timetable for use or maintenance or re-dug this does not include specialized reform mining machines.,يشمل المنشآت المتخصصة في تدعيم الآبار البترولية وآبار الغاز الطبيعي وتكسيتها بإستخدام تقنيات متنوعة مثل أسلوب ضخ الأسمنت بالحقن المنشط أو المعالج أو غير ذلك من المواد المستخدمة في تدعيم الآبار وتكسيتها وحمايتها من التآكل أو التفاعل مع المواد الطبيعية المحيطة أو لإطالة العمر الزمني لإستخدامها أو صيانتها أو إعادة حفرها ولايشمل ذلك الإصلاح المتخصص لآلات التعدين.,,
AM-07181,a0v4H00000fYcTr,Non-Freezone,1920013,Natural Gas Liquefaction,تسييل الغاز الطبيعي,Active,"150,000",Industrial,صناعية,-,High,High,Standard,,Domestic gas distribution,توزيع الغاز المنزلي,ENERGY,"Oil, Gas & Consumable Fuels",Oil products industry,صناعة منتجات النفط,"This activity is concerned with manufacture of the Liquefied natural gas LNG is a natural gas that has been treated and cooled to be liquefied natural gas. The gas is extracted from the oil and gas fields and then transported to the processing facility where additional processing, cooling and liquefaction of the gas are carried out under atmospheric conditions.",النشاط معني بصناعة الغاز الطبيعي المسال وهو غاز طبيعي تمت معالجته وإسالته بالتبريد. يستخرج الغاز من حقول النفط والغاز ثم ينقل إلى منشأة المعالجة حيث تتم عمليات معالجة إضافية، تبريد، وإسالة الغاز تحت الظروف الجوية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-09043,a0v4K0000026ItC,Freezone,1920013,Natural Gas Liquefaction,تسييل الغاز الطبيعي,Active,"150,000",Industrial,صناعية,-,High,High,Standard,,Domestic gas distribution,توزيع الغاز المنزلي,ENERGY,"Oil, Gas & Consumable Fuels",,,"This activity is concerned with manufacture of the Liquefied natural gas LNG is a natural gas that has been treated and cooled to be liquefied natural gas. The gas is extracted from the oil and gas fields and then transported to the processing facility where additional processing, cooling and liquefaction of the gas are carried out under atmospheric conditions.",النشاط معني بصناعة الغاز الطبيعي المسال وهو غاز طبيعي تمت معالجته وإسالته بالتبريد. يستخرج الغاز من حقول النفط والغاز ثم ينقل إلى منشأة المعالجة حيث تتم عمليات معالجة إضافية، تبريد، وإسالة الغاز تحت الظروف الجوية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03442,a0v580000018MEY,Freezone,741304,Natural Gas Technology Marketing,تسويق تكنولوجيا الغاز الطبيعي,Active,,Services,خدمية,-,Low,High,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,ENERGY,Energy Equipment & Services,,,Includes firms conduct operations and activities to explore the demand on natural gas technology in order to assist the firms involved in such technology to how to meet such demands.,يشمل المنشآت التي تقوم بالعمليات والأنشطة التي تعمل على أكتشاف رغبات العملاء الراغبين في تكنلوجيا الغاز الطبيعي ومن ثم العمل على إرشاد و توجيه جهود المنشآت العاملة في مجال تكنولوجيا الغاز الطبيعي نحو كيفية تطوير خدماتها بهدف إشباع تلك الرغبات.,,
AM-08861,a0v4K000001BWM8,Non-Freezone,1629105,Natural or Agglomerated Articles Manufacturing,صناعة أصناف الفلين الطبيعي أو المكتَّل,Active,"150,000",Industrial,صناعية,ESR,,,Standard,,Paper and paper products,صناعة الورق ومشتقاته,,,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08458,a0v4H00000g5mbD,Non-Freezone,2399008,"Natural or Artificial Abrasive Products for Millstones, Sharpening or Polishing",صناعة المنتجات الشاحذة الطبيعية أو الاصطناعية للطحن او السن او الصقل,Active,,Industrial,صناعية,-,Low,,Standard,,Other metal industries,صناعات معدنية أخرى,,,Other metal industries,صناعات معدنية أخرى,"Natural or Artificial Abrasive Products for Millstones, Sharpening or Polishing",صناعة المنتجات الشاحذة الطبيعية أو الاصطناعية للطحن او السن او الصقل,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08565,a0v4H00000g5mcw,Non-Freezone,8690025,Naturopathy Treatment,معالجة بالطبيعة - ناتشروباثي,Active,,Professional,مهنية,-,Medium,,Standard,,Medical clinics,العيادات الطبية,,,Medical clinics,العيادات الطبية,,,Certified_Academic_Degree,Ministry of Health & Prevention
AM-03443,a0v580000018MEZ,Freezone,315003,Neon Signs Manufacturing,صناعة اللافتات الاعلانية الكهربائية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Advertising,الدعايه و الاعلان,Industrials,Commercial Services & Supplies,,,Includes fabricating neon tube signs by the craft of bending plastic and glass tubing into shapes and is filled with neon gas.,يشمل صناعة اللوحات الإعلانية من الأنابيب البلاستيكية أو الزجاجية الشفافة التي يمرر فيها غاز النيون الملون ليعطي اللوحة الإعلانية شكلها المضئ.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03444,a0v580000018MEa,Freezone,172301,Nets Manufacturing,صناعة الشباك,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Cotton & metal nets & ropes manufacturing,صناعة الشباك والحبال من القطن والمعدن,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,Includes manufacturing nets from fibers like nylon and are woven in a grid-like structure in order use for catching fish and birds or to use in dividing the court in racket games such as tennis and badminton.,يشمل صناعة الشباك من النايلون أو الألياف الأخرى والتي تجهز على شكل شبكي لإستخدامه في صيد الأسماك والطيور أو في ملاعب كرة المضرب وتنس الريشة.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03445,a0v580000018MEb,Freezone,721002,Network Consultancies,استشارات الشبكات الالكترونية,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,Information Technology,Software & Services,,,"Includes providing comprehensive professional consultancies to IT organizations to help them match their needs with the networking solutions, it involves securing, analyzing and designing network solutions that maintain the security and integrity of their IT assets.",يشمل تقديم الإستشارات للمنشآت المتخصصة في أنشطة تقنية المعلومات لمساعدتهم في كيفية تحقيق التوافق وتطبيق الحلول التي تقدمها الشبكات الإلكترونية لتحقيق إحتياجات ومتطلبات تلك المنشآت، وبشمل مساعدة المنشآت المذكورة في تحديد وتحليل وتصميم الحلول التي تؤمن سلامة مواردها وأجهزتها.,,
AM-08097,a0v4H00000fYcid,Non-Freezone,6311007,Network Websites Contents Entering and Supplying,ادخال وامداد محتويات مواقع الشبكة المعلوماتية,Active,,Professional,مهنية,-,Low,,Standard,,Consulting - Management and Information,الإستشارات- الإدارة والمعلومات,,,Consulting - Management and Information,الإستشارات- الإدارة والمعلومات C,,,,
AM-08083,a0v4H00000fYciP,Non-Freezone,6201005,Network Websites Designing,تصميم مواقع الشبكة المعلوماتية,Active,,Professional,مهنية,-,Low,,Standard,,Consulting - Management and Information,الإستشارات- الإدارة والمعلومات,Information Technology,Software & Services,Design and programming services,خدمات التصميم والبرمجة,,,,
AM-09064,a0v4K0000026KOp,Freezone,RAKEZ /2017/61,Network Websites Designing,تصميم مواقع الشبكة المعلوماتية,Active,,Services,خدمية,-,Low,,Standard,,"Computer programming, consultancy and related activities",أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,Information Technology,Software & Services,,,,,,
AM-06467,a0v580000018b5P,Freezone,RAKEZ /2017/61,Network Websites Designing,تصميم مواقع الشبكة المعلوماتية,Inactive,,Individual / Professional,فردية / مهنية,-,Low,,Standard,,"Computer programming, consultancy and related activities",أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,Information Technology,Software & Services,,,,,,
